[1.0, 1.0]
[0.40760942006708817, 2.4533289732004]
[0.4062555338765709, 2.4615049312874624]
[0.4049223890191611, 2.4696090587193478]
[0.4023936062914448, 2.48512894927988]
[0.4003180967727561, 2.4980134749383023]
[0.3982393966684492, 2.5110524181326577]
[0.3973266172004486, 2.5168210653642333]
[0.396221378970788, 2.52384160238291]
[0.3944630462175204, 2.5350917141388343]
[0.3936626161543685, 2.5402462894974667]
[0.3927489803663402, 2.5461555598877452]
[0.39098415765239436, 2.557648386585149]
[0.3896523580344219, 2.566390217794242]
[0.3889975276893882, 2.570710425693227]
[0.38782893687996406, 2.5784563886461815]
[0.3863847378733477, 2.5880939436272143]
[0.38300707608289314, 2.610917819658175]
[0.38013838140900374, 2.6306209762177795]
[0.37894352239060913, 2.6389156718958646]
[0.37696512840331864, 2.652765268330312]
[0.37688634286915135, 2.6533198109202467]
[0.37553454790779567, 2.6628708478920777]
[0.3736826242750618, 2.6760676976618423]
[0.37366244280256433, 2.684814491375492]
[0.3713163292633755, 2.6931215278999967]
[0.37025088621912494, 2.7008713205568715]
[0.36870254387436374, 2.7122134539455534]
[0.3675399269766918, 2.7207928352867548]
[0.36741024094368707, 2.7217532027183475]
[0.3650885428180545, 2.7390615774496108]
[0.36478862901877657, 2.741313518159382]
[0.36366280519463484, 2.749800050254777]
[0.3627054743687927, 2.757057917971255]
[0.36075710111297266, 2.77194820812923]
[0.35916637847231614, 2.7842249718735244]
[0.35877759530271053, 2.787242049371206]
[0.3571870282005227, 2.7996537417327647]
[0.35598344184165714, 2.809119420910605]
[0.35457257260218256, 2.820297104937001]
[0.3533618582988402, 2.8299602136297746]
[0.3532926519896745, 2.830514573026632]
[0.3520902169754479, 2.8401811575177405]
[0.351199372837838, 2.8473854947962502]
[0.3499193341904029, 2.857801505348848]
[0.34915819769044265, 2.864031280418574]
[0.3483609656069152, 2.8705856818883193]
[0.3471333587034021, 2.8807372582547464]
[0.34668248983174105, 2.884483725974566]
[0.3449856371529333, 2.898671400504412]
[0.34380714211565977, 2.908607406601202]
[0.3409117476265366, 2.9333104739338114]
[0.33988894020769844, 2.942137509355034]
[0.3385863694435269, 2.953456164356288]
[0.33759621380329835, 2.962118528327612]
[0.3362331269434634, 2.9741269371359325]
[0.3335498564536572, 2.9980525569164445]
[0.33308337850774694, 3.0022512815863664]
[0.33227963030696595, 3.0095134001328394]
